id,name,episode,agent,kill,death,time
13,enemy,2,Artisan,0.0,1,13
13,enemy,3,Guardian,15.0,1,21
13,enemy,4,Explorer,5.0,1,10
13,enemy,5,Conqueror,47.0,0,60
13,enemy,6,Manager,32.0,1,52
13,enemy,7,Artisan,9.0,1,22
13,enemy,8,Guardian,4.0,1,18
13,enemy,9,Explorer,5.0,1,24
14,enemy,0,Conqueror,2.0,1,7
14,enemy,1,Manager,23.0,1,33
14,enemy,2,Artisan,18.0,1,22
14,enemy,3,Guardian,4.0,1,18
14,enemy,4,Explorer,1.0,1,13
14,enemy,5,Conqueror,41.0,0,60
14,enemy,6,Manager,19.0,1,36
14,enemy,7,Artisan,11.0,1,18
14,enemy,8,Guardian,2.0,1,24
14,enemy,9,Explorer,4.0,1,22
15,enemy,0,Conqueror,53.0,0,60
15,enemy,1,Manager,42.0,0,60
15,enemy,2,Artisan,14.0,1,33
15,enemy,3,Guardian,0.0,0,60
15,enemy,4,Explorer,18.0,1,37
15,enemy,5,Conqueror,41.0,0,60
15,enemy,6,Manager,41.0,0,60
15,enemy,7,Artisan,18.0,1,37
15,enemy,8,Guardian,8.0,1,24
15,enemy,9,Explorer,3.0,1,18
16,enemy,0,Conqueror,0.0,1,4
16,enemy,1,Manager,13.0,1,33
16,enemy,2,Artisan,10.0,1,25
16,enemy,3,Guardian,2.0,1,9
16,enemy,4,Explorer,9.0,1,19
16,enemy,5,Conqueror,56.0,0,60
16,enemy,6,Manager,41.0,0,60
16,enemy,7,Artisan,8.0,1,27
16,enemy,8,Guardian,3.0,1,9
16,enemy,9,Explorer,37.0,0,60
17,enemy,0,Conqueror,1.0,1,13
17,enemy,1,Manager,51.0,0,60
17,enemy,2,Artisan,21.0,1,30
17,enemy,3,Guardian,3.0,1,14
17,enemy,4,Explorer,7.0,1,25
17,enemy,5,Conqueror,41.0,0,60
17,enemy,6,Manager,23.0,1,29
17,enemy,7,Artisan,10.0,1,23
17,enemy,8,Guardian,7.0,1,28
17,enemy,9,Explorer,0.0,1,4
18,enemy,0,Conqueror,59.0,0,60
18,enemy,1,Manager,2.0,1,16
18,enemy,2,Artisan,14.0,1,36
18,enemy,3,Guardian,2.0,1,6
18,enemy,4,Explorer,11.0,1,25
18,enemy,5,Conqueror,60.0,0,60
18,enemy,6,Manager,2.0,1,10
18,enemy,7,Artisan,22.0,1,31
18,enemy,8,Guardian,2.0,1,11
18,enemy,9,Explorer,7.0,1,25
19,enemy,0,Conqueror,8.0,1,15
19,enemy,1,Manager,2.0,1,6
