id,name,episode,agent,start_time,end_time,kill,dead
0,enemy,0,defensive,2022-11-16 17:56:35.451921,2022-11-16 17:58:39.710533,0,2.0
0,enemy,1,aggressive,2022-11-16 18:00:19.572675,2022-11-16 18:02:22.293250,0,4.0
0,enemy,2,aimer,2022-11-16 18:02:36.507359,2022-11-16 18:04:39.050809,0,3.0
0,enemy,3,hider,2022-11-16 18:04:54.198001,2022-11-16 18:07:03.886040,0,2.0
0,enemy,4,runner,2022-11-16 18:07:16.619723,2022-11-16 18:09:19.378640,0,6.0
0,enemy,5,defensive,2022-11-16 18:09:55.075376,2022-11-16 18:11:58.443006,0,1.0
0,enemy,6,aggressive,2022-11-16 18:12:18.115790,2022-11-16 18:14:25.300775,0,2.0
0,enemy,7,aimer,2022-11-16 18:14:36.562449,2022-11-16 18:16:38.982679,0,3.0
0,enemy,8,hider,2022-11-16 18:16:50.328885,2022-11-16 18:18:53.490410,0,7.0
0,enemy,9,runner,2022-11-16 18:19:04.133178,2022-11-16 18:21:06.620306,0,8.0
