id,name,episode,agent,start_time,end_time,kill,dead
0,enemy,0,defensive,2022-11-16 17:47:23.333454,2022-11-16 17:50:22.899332,0,2.0
0,enemy,1,aggressive,2022-11-16 17:50:53.054516,2022-11-16 17:53:07.740793,0,1.0
0,enemy,2,aimer,2022-11-16 17:53:18.303106,2022-11-16 17:55:34.222345,0,2.0
0,enemy,3,hider,2022-11-16 17:55:41.200471,2022-11-16 17:57:52.109941,0,2.0
0,enemy,4,runner,2022-11-16 17:58:11.314013,2022-11-16 18:00:13.903551,0,5.0
0,enemy,5,defensive,2022-11-16 18:00:30.141305,2022-11-16 18:02:42.077771,0,1.0
0,enemy,6,aggressive,2022-11-16 18:02:47.146504,2022-11-16 18:04:58.030839,0,2.0
0,enemy,7,aimer,2022-11-16 18:05:01.839644,2022-11-16 18:07:14.582302,0,2.0
0,enemy,8,hider,2022-11-16 18:07:18.519168,2022-11-16 18:09:31.315347,0,0.0
0,enemy,9,runner,2022-11-16 18:11:06.755683,2022-11-16 18:13:22.265773,0,6.0
