id,name,episode,agent,start_time,end_time,kill,dead
0,enemy,0,defensive,2022-11-18 13:08:34.577579,2022-11-18 13:09:34.593211,41.0,0
0,enemy,1,aggressive,2022-11-18 13:09:34.631210,2022-11-18 13:10:34.640361,45.0,0
0,enemy,2,aimer,2022-11-18 13:10:34.677362,2022-11-18 13:10:58.111833,11.0,1
0,enemy,3,hider,2022-11-18 13:10:58.149835,2022-11-18 13:11:22.259012,5.0,1
0,enemy,4,runner,2022-11-18 13:11:22.299004,2022-11-18 13:11:32.374110,1.0,1
0,enemy,5,defensive,2022-11-18 13:11:32.411110,2022-11-18 13:12:32.426415,44.0,0
0,enemy,6,aggressive,2022-11-18 13:12:32.819416,2022-11-18 13:13:32.833405,41.0,0
0,enemy,7,aimer,2022-11-18 13:13:32.865408,2022-11-18 13:13:45.716641,3.0,1
0,enemy,8,hider,2022-11-18 13:13:45.748646,2022-11-18 13:14:11.615163,6.0,1
0,enemy,9,runner,2022-11-18 13:14:11.648158,2022-11-18 13:14:28.469307,7.0,1
1,enemy,0,defensive,2022-11-18 13:14:28.501277,2022-11-18 13:15:28.502062,41.0,0
1,enemy,1,aggressive,2022-11-18 13:15:28.534059,2022-11-18 13:15:39.907622,0.0,1
1,enemy,2,aimer,2022-11-18 13:15:39.938620,2022-11-18 13:16:18.334239,18.0,1
1,enemy,3,hider,2022-11-18 13:16:18.366241,2022-11-18 13:16:44.278494,6.0,1
1,enemy,4,runner,2022-11-18 13:16:44.311494,2022-11-18 13:16:56.549869,2.0,1
1,enemy,5,defensive,2022-11-18 13:16:56.582774,2022-11-18 13:17:56.608938,41.0,0
1,enemy,6,aggressive,2022-11-18 13:17:56.640937,2022-11-18 13:18:56.648148,41.0,0
1,enemy,7,aimer,2022-11-18 13:18:56.681147,2022-11-18 13:19:29.654016,13.0,1
1,enemy,8,hider,2022-11-18 13:19:29.688018,2022-11-18 13:20:29.701780,2.0,0
1,enemy,9,runner,2022-11-18 13:20:29.734784,2022-11-18 13:20:49.672524,7.0,1
2,enemy,0,defensive,2022-11-18 13:20:49.705525,2022-11-18 13:21:49.720883,58.0,0
2,enemy,1,aggressive,2022-11-18 13:21:49.751882,2022-11-18 13:22:24.224201,19.0,1
2,enemy,2,aimer,2022-11-18 13:22:24.256200,2022-11-18 13:22:35.843138,8.0,1
2,enemy,3,hider,2022-11-18 13:22:35.874065,2022-11-18 13:23:35.882317,0.0,0
2,enemy,4,runner,2022-11-18 13:23:35.914317,2022-11-18 13:23:46.071368,2.0,1
2,enemy,5,defensive,2022-11-18 13:23:46.105370,2022-11-18 13:24:46.117278,41.0,0
2,enemy,6,aggressive,2022-11-18 13:24:46.152276,2022-11-18 13:25:46.181540,47.0,0
2,enemy,7,aimer,2022-11-18 13:25:46.211541,2022-11-18 13:26:10.128783,8.0,1
2,enemy,8,hider,2022-11-18 13:26:10.163778,2022-11-18 13:26:37.659963,8.0,1
2,enemy,9,runner,2022-11-18 13:26:37.692961,2022-11-18 13:26:45.277337,1.0,1
3,enemy,0,defensive,2022-11-18 13:26:45.310336,2022-11-18 13:27:45.336580,41.0,0
3,enemy,1,aggressive,2022-11-18 13:27:45.365580,2022-11-18 13:28:45.379395,57.0,0
3,enemy,2,aimer,2022-11-18 13:28:45.416394,2022-11-18 13:29:20.335547,23.0,1
3,enemy,3,hider,2022-11-18 13:29:20.363545,2022-11-18 13:30:20.372471,0.0,0
3,enemy,4,runner,2022-11-18 13:30:20.406471,2022-11-18 13:30:29.388761,2.0,1
3,enemy,5,defensive,2022-11-18 13:30:29.424793,2022-11-18 13:31:29.441855,57.0,0
3,enemy,6,aggressive,2022-11-18 13:31:29.475856,2022-11-18 13:31:52.881101,8.0,1
3,enemy,7,aimer,2022-11-18 13:31:52.913103,2022-11-18 13:32:29.655551,17.0,1
3,enemy,8,hider,2022-11-18 13:32:29.690551,2022-11-18 13:32:54.380042,2.0,1
3,enemy,9,runner,2022-11-18 13:32:54.413566,2022-11-18 13:33:26.816765,11.0,1
4,enemy,0,defensive,2022-11-18 13:33:26.867754,2022-11-18 13:34:26.871811,53.0,0
4,enemy,1,aggressive,2022-11-18 13:34:26.905811,2022-11-18 13:34:54.244033,26.0,1
4,enemy,2,aimer,2022-11-18 13:34:54.275035,2022-11-18 13:35:19.975962,18.0,1
4,enemy,3,hider,2022-11-18 13:35:20.008954,2022-11-18 13:36:20.020906,0.0,0
4,enemy,4,runner,2022-11-18 13:36:20.052907,2022-11-18 13:36:37.871471,3.0,1
4,enemy,5,defensive,2022-11-18 13:36:37.904462,2022-11-18 13:36:48.497297,1.0,1
4,enemy,6,aggressive,2022-11-18 13:36:48.529297,2022-11-18 13:37:48.540424,42.0,0
4,enemy,7,aimer,2022-11-18 13:37:48.573423,2022-11-18 13:38:15.141279,9.0,1
4,enemy,8,hider,2022-11-18 13:38:15.177280,2022-11-18 13:38:41.881867,8.0,1
4,enemy,9,runner,2022-11-18 13:38:41.914861,2022-11-18 13:38:52.235058,0.0,1
