id,name,episode,agent,start_time,end_time,kill,dead
0,enemy,0,defensive,2022-11-18 13:08:35.458578,2022-11-18 13:09:35.465212,53.0,0
0,enemy,1,aggressive,2022-11-18 13:09:35.506211,2022-11-18 13:09:46.483213,1.0,1
0,enemy,2,aimer,2022-11-18 13:09:46.518211,2022-11-18 13:09:58.778058,2.0,1
0,enemy,3,hider,2022-11-18 13:09:58.810057,2022-11-18 13:10:30.455361,16.0,1
0,enemy,4,runner,2022-11-18 13:10:30.491363,2022-11-18 13:10:53.592053,4.0,1
0,enemy,5,defensive,2022-11-18 13:10:53.627052,2022-11-18 13:11:53.643650,50.0,0
0,enemy,6,aggressive,2022-11-18 13:11:53.677649,2022-11-18 13:12:53.686701,42.0,0
0,enemy,7,aimer,2022-11-18 13:12:53.719700,2022-11-18 13:13:11.134221,8.0,1
0,enemy,8,hider,2022-11-18 13:13:11.166224,2022-11-18 13:13:18.310330,0.0,1
0,enemy,9,runner,2022-11-18 13:13:18.342321,2022-11-18 13:14:06.020650,21.0,1
1,enemy,0,defensive,2022-11-18 13:14:06.052650,2022-11-18 13:15:06.073622,44.0,0
1,enemy,1,aggressive,2022-11-18 13:15:06.106622,2022-11-18 13:16:06.111249,41.0,0
1,enemy,2,aimer,2022-11-18 13:16:06.144241,2022-11-18 13:16:36.130881,32.0,1
1,enemy,3,hider,2022-11-18 13:16:36.166881,2022-11-18 13:17:06.151372,10.0,1
1,enemy,4,runner,2022-11-18 13:17:06.183373,2022-11-18 13:17:29.303235,6.0,1
1,enemy,5,defensive,2022-11-18 13:17:29.338231,2022-11-18 13:18:29.345624,40.0,0
1,enemy,6,aggressive,2022-11-18 13:18:29.381872,2022-11-18 13:19:29.387016,40.0,0
1,enemy,7,aimer,2022-11-18 13:19:29.425017,2022-11-18 13:20:00.291789,11.0,1
1,enemy,8,hider,2022-11-18 13:20:00.326791,2022-11-18 13:20:24.542585,8.0,1
1,enemy,9,runner,2022-11-18 13:20:24.571585,2022-11-18 13:20:33.820371,3.0,1
2,enemy,0,defensive,2022-11-18 13:20:33.853366,2022-11-18 13:21:15.612687,19.0,1
2,enemy,1,aggressive,2022-11-18 13:21:15.646686,2022-11-18 13:22:15.652712,50.0,0
2,enemy,2,aimer,2022-11-18 13:22:15.685713,2022-11-18 13:22:44.934116,10.0,1
2,enemy,3,hider,2022-11-18 13:22:44.967110,2022-11-18 13:23:10.712147,6.0,1
2,enemy,4,runner,2022-11-18 13:23:10.743140,2022-11-18 13:23:20.344258,1.0,1
2,enemy,5,defensive,2022-11-18 13:23:20.377258,2022-11-18 13:24:20.382935,41.0,0
2,enemy,6,aggressive,2022-11-18 13:24:20.431934,2022-11-18 13:24:51.680330,17.0,1
2,enemy,7,aimer,2022-11-18 13:24:51.711330,2022-11-18 13:25:11.337408,18.0,1
2,enemy,8,hider,2022-11-18 13:25:11.370411,2022-11-18 13:25:59.410546,23.0,1
2,enemy,9,runner,2022-11-18 13:25:59.447547,2022-11-18 13:26:05.523782,1.0,1
3,enemy,0,defensive,2022-11-18 13:26:05.556778,2022-11-18 13:27:05.561132,64.0,0
3,enemy,1,aggressive,2022-11-18 13:27:05.597162,2022-11-18 13:27:58.801086,35.0,1
3,enemy,2,aimer,2022-11-18 13:27:58.840086,2022-11-18 13:28:17.222509,15.0,1
3,enemy,3,hider,2022-11-18 13:28:17.259500,2022-11-18 13:28:28.189050,1.0,1
3,enemy,4,runner,2022-11-18 13:28:28.221051,2022-11-18 13:28:38.794381,0.0,1
3,enemy,5,defensive,2022-11-18 13:28:38.825375,2022-11-18 13:29:38.838703,41.0,0
3,enemy,6,aggressive,2022-11-18 13:29:38.873702,2022-11-18 13:30:08.697097,17.0,1
3,enemy,7,aimer,2022-11-18 13:30:08.731098,2022-11-18 13:30:45.565501,18.0,1
3,enemy,8,hider,2022-11-18 13:30:45.600495,2022-11-18 13:30:56.953089,2.0,1
3,enemy,9,runner,2022-11-18 13:30:56.985081,2022-11-18 13:31:26.260653,12.0,1
4,enemy,0,defensive,2022-11-18 13:31:26.294648,2022-11-18 13:32:26.318595,38.0,0
4,enemy,1,aggressive,2022-11-18 13:32:26.350594,2022-11-18 13:32:36.964468,4.0,1
4,enemy,2,aimer,2022-11-18 13:32:36.997468,2022-11-18 13:33:00.217523,8.0,1
4,enemy,3,hider,2022-11-18 13:33:00.248516,2022-11-18 13:34:00.271369,0.0,0
4,enemy,4,runner,2022-11-18 13:34:00.303370,2022-11-18 13:34:18.568010,5.0,1
4,enemy,5,defensive,2022-11-18 13:34:18.602003,2022-11-18 13:35:18.615921,41.0,0
4,enemy,6,aggressive,2022-11-18 13:35:18.653987,2022-11-18 13:36:18.658364,56.0,0
4,enemy,7,aimer,2022-11-18 13:36:18.694367,2022-11-18 13:36:46.037277,10.0,1
4,enemy,8,hider,2022-11-18 13:36:46.070268,2022-11-18 13:37:23.663382,17.0,1
4,enemy,9,runner,2022-11-18 13:37:23.702382,2022-11-18 13:37:42.610249,5.0,1
5,enemy,0,defensive,2022-11-18 13:37:42.644642,2022-11-18 13:38:42.654878,39.0,0
5,enemy,1,aggressive,2022-11-18 13:38:42.696870,2022-11-18 13:39:07.305040,10.0,1
5,enemy,2,aimer,2022-11-18 13:39:07.339042,2022-11-18 13:39:36.425266,15.0,1
5,enemy,3,hider,2022-11-18 13:39:36.460266,2022-11-18 13:39:51.688182,3.0,1
5,enemy,4,runner,2022-11-18 13:39:51.721183,2022-11-18 13:40:06.563714,2.0,1
5,enemy,5,defensive,2022-11-18 13:40:06.596714,2022-11-18 13:41:06.612176,46.0,0
5,enemy,6,aggressive,2022-11-18 13:41:06.648208,2022-11-18 13:41:23.849312,4.0,1
5,enemy,7,aimer,2022-11-18 13:41:23.882313,2022-11-18 13:42:17.517960,35.0,1
5,enemy,8,hider,2022-11-18 13:42:17.551953,2022-11-18 13:42:24.308200,1.0,1
5,enemy,9,runner,2022-11-18 13:42:24.342192,2022-11-18 13:42:54.625998,14.0,1
6,enemy,0,defensive,2022-11-18 13:42:54.661991,2022-11-18 13:43:13.553753,3.0,1
6,enemy,1,aggressive,2022-11-18 13:43:13.586752,2022-11-18 13:44:05.770029,32.0,1
6,enemy,2,aimer,2022-11-18 13:44:05.803029,2022-11-18 13:44:42.108244,15.0,1
6,enemy,3,hider,2022-11-18 13:44:42.141237,2022-11-18 13:45:08.276743,18.0,1
6,enemy,4,runner,2022-11-18 13:45:08.310898,2022-11-18 13:45:20.646183,0.0,1
6,enemy,5,defensive,2022-11-18 13:45:20.680183,2022-11-18 13:46:20.684811,46.0,0
6,enemy,6,aggressive,2022-11-18 13:46:20.727587,2022-11-18 13:47:20.751955,39.0,0
6,enemy,7,aimer,2022-11-18 13:47:20.786957,2022-11-18 13:47:35.592622,8.0,1
6,enemy,8,hider,2022-11-18 13:47:35.624613,2022-11-18 13:48:35.634269,0.0,0
6,enemy,9,runner,2022-11-18 13:48:35.667270,2022-11-18 13:48:44.601826,1.0,1
7,enemy,0,defensive,2022-11-18 13:48:44.634816,2022-11-18 13:49:44.643841,38.0,0
7,enemy,1,aggressive,2022-11-18 13:49:44.677861,2022-11-18 13:50:10.770383,17.0,1
7,enemy,2,aimer,2022-11-18 13:50:10.805383,2022-11-18 13:50:48.306309,17.0,1
7,enemy,3,hider,2022-11-18 13:50:48.341303,2022-11-18 13:51:15.233216,8.0,1
7,enemy,4,runner,2022-11-18 13:51:15.267216,2022-11-18 13:51:24.956520,1.0,1
7,enemy,5,defensive,2022-11-18 13:51:24.984513,2022-11-18 13:52:24.991334,54.0,0
7,enemy,6,aggressive,2022-11-18 13:52:25.023334,2022-11-18 13:53:25.024243,41.0,0
7,enemy,7,aimer,2022-11-18 13:53:25.057244,2022-11-18 13:53:59.956757,22.0,1
7,enemy,8,hider,2022-11-18 13:53:59.991756,2022-11-18 13:55:00.008660,0.0,0
7,enemy,9,runner,2022-11-18 13:55:00.044658,2022-11-18 13:55:13.853817,7.0,1
8,enemy,0,defensive,2022-11-18 13:55:13.889818,2022-11-18 13:55:50.242192,9.0,1
8,enemy,1,aggressive,2022-11-18 13:55:50.275193,2022-11-18 13:56:50.281884,41.0,0
8,enemy,2,aimer,2022-11-18 13:56:50.316883,2022-11-18 13:56:56.056906,1.0,1
8,enemy,3,hider,2022-11-18 13:56:56.088358,2022-11-18 13:57:56.095784,0.0,0
8,enemy,4,runner,2022-11-18 13:57:56.127783,2022-11-18 13:58:03.728563,0.0,1
8,enemy,5,defensive,2022-11-18 13:58:03.762557,2022-11-18 13:59:03.777766,42.0,0
8,enemy,6,aggressive,2022-11-18 13:59:03.810765,2022-11-18 14:00:03.840526,40.0,0
8,enemy,7,aimer,2022-11-18 14:00:03.875528,2022-11-18 14:00:30.931242,9.0,1
8,enemy,8,hider,2022-11-18 14:00:30.962243,2022-11-18 14:01:30.990083,0.0,0
8,enemy,9,runner,2022-11-18 14:01:31.022603,2022-11-18 14:01:38.956807,0.0,1
9,enemy,0,defensive,2022-11-18 14:01:38.985800,2022-11-18 14:02:38.991268,41.0,0
9,enemy,1,aggressive,2022-11-18 14:02:39.056258,2022-11-18 14:03:39.082809,41.0,0
9,enemy,2,aimer,2022-11-18 14:03:39.121810,2022-11-18 14:03:53.123417,8.0,1
9,enemy,3,hider,2022-11-18 14:03:53.155414,2022-11-18 14:04:32.890509,9.0,1
9,enemy,4,runner,2022-11-18 14:04:32.924510,2022-11-18 14:04:44.001809,0.0,1
9,enemy,5,defensive,2022-11-18 14:04:44.033801,2022-11-18 14:05:44.041480,51.0,0
9,enemy,6,aggressive,2022-11-18 14:05:44.076480,2022-11-18 14:06:44.084109,40.0,0
9,enemy,7,aimer,2022-11-18 14:06:44.117108,2022-11-18 14:07:06.522373,8.0,1
9,enemy,8,hider,2022-11-18 14:07:06.555375,2022-11-18 14:07:29.546996,8.0,1
9,enemy,9,runner,2022-11-18 14:07:29.582982,2022-11-18 14:07:42.803962,0.0,1
