id,name,episode,agent,start_time,end_time,kill,dead
0,enemy,0,defensive,2022-11-18 13:08:33.811577,2022-11-18 13:09:33.817211,37.0,0
0,enemy,1,aggressive,2022-11-18 13:09:33.855211,2022-11-18 13:10:33.860362,42.0,0
0,enemy,2,aimer,2022-11-18 13:10:33.896360,2022-11-18 13:10:56.605834,6.0,1
0,enemy,3,hider,2022-11-18 13:10:56.641833,2022-11-18 13:11:42.287148,34.0,1
0,enemy,4,runner,2022-11-18 13:11:42.322149,2022-11-18 13:11:50.677648,0.0,1
0,enemy,5,defensive,2022-11-18 13:11:50.707649,2022-11-18 13:12:50.716464,40.0,0
0,enemy,6,aggressive,2022-11-18 13:12:50.753465,2022-11-18 13:13:50.756632,39.0,0
0,enemy,7,aimer,2022-11-18 13:13:50.791631,2022-11-18 13:14:12.298217,14.0,1
0,enemy,8,hider,2022-11-18 13:14:12.329167,2022-11-18 13:15:12.357632,0.0,0
0,enemy,9,runner,2022-11-18 13:15:12.389623,2022-11-18 13:15:21.458108,1.0,1
1,enemy,0,defensive,2022-11-18 13:15:21.489059,2022-11-18 13:16:10.471241,57.0,1
1,enemy,1,aggressive,2022-11-18 13:16:10.503241,2022-11-18 13:17:03.023287,32.0,1
1,enemy,2,aimer,2022-11-18 13:17:03.060287,2022-11-18 13:17:12.726760,6.0,1
1,enemy,3,hider,2022-11-18 13:17:12.759759,2022-11-18 13:17:23.720759,2.0,1
1,enemy,4,runner,2022-11-18 13:17:23.753761,2022-11-18 13:17:32.655484,0.0,1
1,enemy,5,defensive,2022-11-18 13:17:32.687475,2022-11-18 13:18:32.687704,44.0,0
1,enemy,6,aggressive,2022-11-18 13:18:32.718704,2022-11-18 13:19:25.200017,32.0,1
1,enemy,7,aimer,2022-11-18 13:19:25.233016,2022-11-18 13:19:39.830500,2.0,1
1,enemy,8,hider,2022-11-18 13:19:39.860499,2022-11-18 13:20:00.616820,5.0,1
1,enemy,9,runner,2022-11-18 13:20:00.651795,2022-11-18 13:20:17.389372,6.0,1
2,enemy,0,defensive,2022-11-18 13:20:17.429340,2022-11-18 13:21:17.436689,55.0,0
2,enemy,1,aggressive,2022-11-18 13:21:17.468689,2022-11-18 13:22:11.300217,32.0,1
2,enemy,2,aimer,2022-11-18 13:22:11.333219,2022-11-18 13:22:45.860139,13.0,1
2,enemy,3,hider,2022-11-18 13:22:45.893112,2022-11-18 13:22:56.355923,1.0,1
2,enemy,4,runner,2022-11-18 13:22:56.386923,2022-11-18 13:23:14.405629,6.0,1
2,enemy,5,defensive,2022-11-18 13:23:14.439629,2022-11-18 13:24:14.458963,48.0,0
2,enemy,6,aggressive,2022-11-18 13:24:14.492963,2022-11-18 13:25:14.499416,37.0,0
2,enemy,7,aimer,2022-11-18 13:25:14.532416,2022-11-18 13:25:41.594524,10.0,1
2,enemy,8,hider,2022-11-18 13:25:41.629516,2022-11-18 13:26:00.386553,5.0,1
2,enemy,9,runner,2022-11-18 13:26:00.423547,2022-11-18 13:26:46.781337,24.0,1
3,enemy,0,defensive,2022-11-18 13:26:46.815337,2022-11-18 13:27:46.826581,41.0,0
3,enemy,1,aggressive,2022-11-18 13:27:46.859583,2022-11-18 13:28:46.861395,41.0,0
3,enemy,2,aimer,2022-11-18 13:28:46.893397,2022-11-18 13:29:16.475913,11.0,1
3,enemy,3,hider,2022-11-18 13:29:16.508919,2022-11-18 13:29:30.224184,6.0,1
3,enemy,4,runner,2022-11-18 13:29:30.257173,2022-11-18 13:30:08.895105,14.0,1
3,enemy,5,defensive,2022-11-18 13:30:08.927105,2022-11-18 13:31:08.930877,41.0,0
3,enemy,6,aggressive,2022-11-18 13:31:08.965879,2022-11-18 13:32:08.973385,40.0,0
3,enemy,7,aimer,2022-11-18 13:32:09.005385,2022-11-18 13:32:43.850157,15.0,1
3,enemy,8,hider,2022-11-18 13:32:43.886157,2022-11-18 13:33:43.906445,2.0,0
3,enemy,9,runner,2022-11-18 13:33:43.939445,2022-11-18 13:33:55.175730,1.0,1
4,enemy,0,defensive,2022-11-18 13:33:55.205730,2022-11-18 13:34:55.211443,41.0,0
4,enemy,1,aggressive,2022-11-18 13:34:55.244442,2022-11-18 13:35:55.253362,41.0,0
4,enemy,2,aimer,2022-11-18 13:35:55.287365,2022-11-18 13:36:26.418462,27.0,1
4,enemy,3,hider,2022-11-18 13:36:26.446462,2022-11-18 13:37:26.458382,0.0,0
4,enemy,4,runner,2022-11-18 13:37:26.492383,2022-11-18 13:37:57.606376,13.0,1
4,enemy,5,defensive,2022-11-18 13:37:57.642367,2022-11-18 13:38:09.074423,4.0,1
4,enemy,6,aggressive,2022-11-18 13:38:09.114401,2022-11-18 13:38:22.684317,0.0,1
4,enemy,7,aimer,2022-11-18 13:38:22.716322,2022-11-18 13:38:31.846863,2.0,1
4,enemy,8,hider,2022-11-18 13:38:31.879863,2022-11-18 13:39:31.888266,0.0,0
4,enemy,9,runner,2022-11-18 13:39:31.923266,2022-11-18 13:39:44.444189,2.0,1
5,enemy,0,defensive,2022-11-18 13:39:44.477069,2022-11-18 13:40:44.479905,58.0,0
5,enemy,1,aggressive,2022-11-18 13:40:44.513911,2022-11-18 13:40:56.040458,7.0,1
5,enemy,2,aimer,2022-11-18 13:40:56.073922,2022-11-18 13:41:15.440018,4.0,1
5,enemy,3,hider,2022-11-18 13:41:15.472027,2022-11-18 13:41:24.004363,1.0,1
5,enemy,4,runner,2022-11-18 13:41:24.039331,2022-11-18 13:41:40.666083,7.0,1
5,enemy,5,defensive,2022-11-18 13:41:40.699075,2022-11-18 13:42:40.704337,42.0,0
5,enemy,6,aggressive,2022-11-18 13:42:40.737479,2022-11-18 13:43:40.738449,41.0,0
5,enemy,7,aimer,2022-11-18 13:43:40.772447,2022-11-18 13:44:15.975140,16.0,1
5,enemy,8,hider,2022-11-18 13:44:16.010142,2022-11-18 13:44:35.772261,3.0,1
5,enemy,9,runner,2022-11-18 13:44:35.809261,2022-11-18 13:44:59.123697,3.0,1
6,enemy,0,defensive,2022-11-18 13:44:59.157547,2022-11-18 13:45:59.177069,42.0,0
6,enemy,1,aggressive,2022-11-18 13:45:59.218069,2022-11-18 13:46:52.068208,32.0,1
6,enemy,2,aimer,2022-11-18 13:46:52.101205,2022-11-18 13:47:08.764075,2.0,1
6,enemy,3,hider,2022-11-18 13:47:08.797078,2022-11-18 13:48:08.804166,3.0,0
6,enemy,4,runner,2022-11-18 13:48:08.837508,2022-11-18 13:48:24.126680,1.0,1
6,enemy,5,defensive,2022-11-18 13:48:24.162679,2022-11-18 13:49:24.184336,53.0,0
6,enemy,6,aggressive,2022-11-18 13:49:24.215333,2022-11-18 13:50:02.226434,18.0,1
6,enemy,7,aimer,2022-11-18 13:50:02.261432,2022-11-18 13:50:54.427468,30.0,1
6,enemy,8,hider,2022-11-18 13:50:54.462461,2022-11-18 13:51:54.465340,0.0,0
6,enemy,9,runner,2022-11-18 13:51:54.516331,2022-11-18 13:52:02.243369,1.0,1
7,enemy,0,defensive,2022-11-18 13:52:02.277370,2022-11-18 13:53:02.283216,47.0,0
7,enemy,1,aggressive,2022-11-18 13:53:02.320216,2022-11-18 13:54:02.324316,32.0,0
7,enemy,2,aimer,2022-11-18 13:54:02.359317,2022-11-18 13:54:35.243088,12.0,1
7,enemy,3,hider,2022-11-18 13:54:35.281088,2022-11-18 13:55:02.397795,9.0,1
7,enemy,4,runner,2022-11-18 13:55:02.433789,2022-11-18 13:55:10.619610,2.0,1
7,enemy,5,defensive,2022-11-18 13:55:10.650604,2022-11-18 13:56:10.651206,39.0,0
7,enemy,6,aggressive,2022-11-18 13:56:10.687204,2022-11-18 13:56:33.744402,8.0,1
7,enemy,7,aimer,2022-11-18 13:56:33.777402,2022-11-18 13:57:09.250913,15.0,1
7,enemy,8,hider,2022-11-18 13:57:09.284802,2022-11-18 13:58:09.300542,2.0,0
7,enemy,9,runner,2022-11-18 13:58:09.332541,2022-11-18 13:58:34.068932,9.0,1
8,enemy,0,defensive,2022-11-18 13:58:34.102932,2022-11-18 13:59:08.703664,16.0,1
8,enemy,1,aggressive,2022-11-18 13:59:08.736706,2022-11-18 14:00:08.740527,50.0,0
8,enemy,2,aimer,2022-11-18 14:00:08.773526,2022-11-18 14:00:30.993297,8.0,1
8,enemy,3,hider,2022-11-18 14:00:31.027814,2022-11-18 14:00:38.920775,2.0,1
8,enemy,4,runner,2022-11-18 14:00:38.952774,2022-11-18 14:00:58.247673,5.0,1
8,enemy,5,defensive,2022-11-18 14:00:58.283249,2022-11-18 14:01:23.610314,4.0,1
8,enemy,6,aggressive,2022-11-18 14:01:23.643385,2022-11-18 14:01:58.441550,16.0,1
8,enemy,7,aimer,2022-11-18 14:01:58.475544,2022-11-18 14:02:18.461996,7.0,1
8,enemy,8,hider,2022-11-18 14:02:18.494989,2022-11-18 14:02:25.738556,0.0,1
8,enemy,9,runner,2022-11-18 14:02:25.771441,2022-11-18 14:02:59.070747,10.0,1
9,enemy,0,defensive,2022-11-18 14:02:59.105748,2022-11-18 14:03:59.116456,41.0,0
9,enemy,1,aggressive,2022-11-18 14:03:59.150460,2022-11-18 14:04:59.150538,38.0,0
9,enemy,2,aimer,2022-11-18 14:04:59.186539,2022-11-18 14:05:33.331643,14.0,1
9,enemy,3,hider,2022-11-18 14:05:33.362187,2022-11-18 14:06:33.369844,0.0,0
9,enemy,4,runner,2022-11-18 14:06:33.401844,2022-11-18 14:06:51.377045,9.0,1
9,enemy,5,defensive,2022-11-18 14:06:51.409045,2022-11-18 14:07:06.663372,3.0,1
9,enemy,6,aggressive,2022-11-18 14:07:06.700373,2022-11-18 14:08:06.703455,45.0,0
9,enemy,7,aimer,2022-11-18 14:08:06.734471,2022-11-18 14:08:36.112972,12.0,1
9,enemy,8,hider,2022-11-18 14:08:36.143983,2022-11-18 14:08:53.819225,4.0,1
