id,name,episode,agent,start_time,end_time,kill,dead
0,enemy,0,defensive,2022-11-18 13:08:36.471578,2022-11-18 13:09:36.481211,36.0,0
0,enemy,1,aggressive,2022-11-18 13:09:36.519211,2022-11-18 13:10:36.522361,42.0,0
0,enemy,2,aimer,2022-11-18 13:10:36.558362,2022-11-18 13:11:00.487835,8.0,1
0,enemy,3,hider,2022-11-18 13:11:00.522835,2022-11-18 13:11:29.610011,9.0,1
0,enemy,4,runner,2022-11-18 13:11:29.643025,2022-11-18 13:12:04.147285,15.0,1
0,enemy,5,defensive,2022-11-18 13:12:04.181277,2022-11-18 13:13:04.189701,41.0,0
0,enemy,6,aggressive,2022-11-18 13:13:04.223699,2022-11-18 13:13:39.422492,16.0,1
0,enemy,7,aimer,2022-11-18 13:13:39.459490,2022-11-18 13:14:01.187649,11.0,1
0,enemy,8,hider,2022-11-18 13:14:01.221649,2022-11-18 13:15:01.235616,0.0,0
0,enemy,9,runner,2022-11-18 13:15:01.264615,2022-11-18 13:15:38.304114,13.0,1
1,enemy,0,defensive,2022-11-18 13:15:38.339105,2022-11-18 13:16:38.352994,41.0,0
1,enemy,1,aggressive,2022-11-18 13:16:38.386994,2022-11-18 13:17:38.397220,41.0,0
1,enemy,2,aimer,2022-11-18 13:17:38.433224,2022-11-18 13:18:15.408581,15.0,1
1,enemy,3,hider,2022-11-18 13:18:15.442584,2022-11-18 13:18:34.276823,3.0,1
1,enemy,4,runner,2022-11-18 13:18:34.308159,2022-11-18 13:18:51.209629,7.0,1
1,enemy,5,defensive,2022-11-18 13:18:51.242630,2022-11-18 13:19:51.253057,41.0,0
1,enemy,6,aggressive,2022-11-18 13:19:51.283056,2022-11-18 13:20:51.297039,61.0,0
1,enemy,7,aimer,2022-11-18 13:20:51.326038,2022-11-18 13:21:13.056687,4.0,1
1,enemy,8,hider,2022-11-18 13:21:13.088687,2022-11-18 13:22:13.089711,0.0,0
1,enemy,9,runner,2022-11-18 13:22:13.122711,2022-11-18 13:22:46.192110,14.0,1
2,enemy,0,defensive,2022-11-18 13:22:46.224111,2022-11-18 13:23:46.229369,48.0,0
2,enemy,1,aggressive,2022-11-18 13:23:46.264369,2022-11-18 13:24:01.874805,2.0,1
2,enemy,2,aimer,2022-11-18 13:24:01.904804,2022-11-18 13:24:22.306935,10.0,1
2,enemy,3,hider,2022-11-18 13:24:22.338935,2022-11-18 13:24:50.543291,10.0,1
2,enemy,4,runner,2022-11-18 13:24:50.576283,2022-11-18 13:25:04.703792,6.0,1
2,enemy,5,defensive,2022-11-18 13:25:04.737403,2022-11-18 13:26:04.741547,42.0,0
2,enemy,6,aggressive,2022-11-18 13:26:04.773297,2022-11-18 13:27:04.780123,40.0,0
2,enemy,7,aimer,2022-11-18 13:27:04.817093,2022-11-18 13:27:20.543888,8.0,1
2,enemy,8,hider,2022-11-18 13:27:20.576889,2022-11-18 13:27:39.423008,4.0,1
